,NSN,sigu,valid_BBC,accurate_BBC,valid_TRUE,accurate_TRUE,valid_STDFIT,accurate_STDFIT,fs8_BBC,fs8_ERR_BBC,fs8_MERR_UP_BBC,fs8_MERR_LOW_BBC,M_0_BBC,M_0_ERR_BBC,M_0_MERR_UP_BBC,M_0_MERR_LOW_BBC,sigv_BBC,sigv_ERR_BBC,sigv_MERR_UP_BBC,sigv_MERR_LOW_BBC,fs8_TRUE,fs8_ERR_TRUE,fs8_MERR_UP_TRUE,fs8_MERR_LOW_TRUE,sigv_TRUE,sigv_ERR_TRUE,sigv_MERR_UP_TRUE,sigv_MERR_LOW_TRUE,fs8_STDFIT,fs8_ERR_STDFIT,fs8_MERR_UP_STDFIT,fs8_MERR_LOW_STDFIT,sigv_STDFIT,sigv_ERR_STDFIT,sigv_MERR_UP_STDFIT,sigv_MERR_LOW_STDFIT,alpha_STDFIT,alpha_ERR_STDFIT,alpha_MERR_UP_STDFIT,alpha_MERR_LOW_STDFIT,beta_STDFIT,beta_ERR_STDFIT,beta_MERR_UP_STDFIT,beta_MERR_LOW_STDFIT,M_0_STDFIT,M_0_ERR_STDFIT,M_0_MERR_UP_STDFIT,M_0_MERR_LOW_STDFIT,sigma_M_STDFIT,sigma_M_ERR_STDFIT,sigma_M_MERR_UP_STDFIT,sigma_M_MERR_LOW_STDFIT,gamma_STDFIT,gamma_ERR_STDFIT,gamma_MERR_UP_STDFIT,gamma_MERR_LOW_STDFIT
0,7008,10.0,True,True,True,True,True,True,0.6948248063241295,0.06419671866605181,0.06601498337487385,-0.06250176260700321,-0.0018630451919177714,0.004114707243150011,0.004115367960724969,-0.004142847122570942,0.0028510926518970363,152.87501599760355,37.54409249627406,-0.0028510926518970363,0.773890851326196,0.0310901942526583,0.031598464946300094,-0.03061371453531674,305.5019547936643,2.832935577132872,2.852458197176743,-2.815486017279523,0.7929820755800029,0.09488675932827423,0.09853887699918967,-0.09171183648314755,237.01659958462596,57.74745142811891,54.32649144899955,-64.45019853959114,0.1492559624592784,0.0011982216034662312,0.0011984257621536296,-0.0011983025554677333,2.9048153325001866,0.014160420785487488,0.014163263873069914,-0.014163614372162401,-19.379920035080062,0.004939512789316019,0.004931106906803323,-0.005004317348431031,0.10022976272236785,0.0019269010847881782,0.0019136973284508687,-0.0019676278802892855,0.08231297468257599,0.0030329726894826816,0.0030328361340761184,-0.0030334909264335677
1,7008,11.0,True,True,True,True,True,True,0.7027644525834337,0.06541008734180093,0.0673046539506133,-0.06364565574659761,-0.0018890483614869315,0.004151352250703903,0.004152058812361039,-0.004180183575275539,0.0028894284008761594,154.64462602326964,37.94990088093155,-0.0028894284008761594,0.7901595937137784,0.03219401638704672,0.03272758031038332,-0.03169284100969025,305.7873232468503,2.827557240290332,2.8478684486822416,-2.809273033213492,0.7976623166178944,0.09585402024484779,0.09958776755806321,-0.09261139531613331,238.4482404963501,57.41415012726344,54.09244427165164,-63.91289347427842,0.14925758822974744,0.001198229864202469,0.00119834753872572,-0.0011983950574506682,2.9048201797207027,0.014160311494730333,0.014163793330045475,-0.01416284552675088,-19.379944335792164,0.004959603277070478,0.004951836845738316,-0.0050244076094451435,0.10022677273014326,0.0019274711336688607,0.00191355503695949,-0.0019690145710817356,0.08231478764798936,0.0030329796197432206,0.0030337829089265166,-0.0030325512913369186
2,7008,12.0,True,True,True,True,True,True,0.7111677097632875,0.06670116550357363,0.06867768977590101,-0.06486223804445626,-0.0019167047596221512,0.00418995948111544,0.004190716204529007,-0.004219527129982094,0.0029635614415750677,156.4099107064732,38.37400560649169,-0.0029635614415750677,0.8077173837574219,0.033402007902494535,0.03397797140887695,-0.032860625566024496,306.07793241510853,2.822234711134371,2.8420380848385793,-2.804397342840594,0.8027737435148897,0.09690151187013712,0.10071692371345287,-0.09359049414372637,239.86931387201702,57.08859294661758,53.84314354369755,-63.423556552833524,0.14925911283667792,0.0011982355782612804,0.0011984905792778336,-0.0011982631882416458,2.904827549982985,0.014160168274447665,0.01416168368999344,-0.0141646699754381,-19.3799694376023,0.004981498417469064,0.004972897514886737,-0.005047823480908993,0.10022312351816341,0.0019280182785825078,0.00191415919506509,-0.0019696109194375245,0.08231855722691186,0.00303297756565368,0.003033004492190612,-0.003033322656723495
3,7008,13.0,True,True,True,True,True,True,0.7199921353511333,0.06809198080331441,0.07012679853693854,-0.06614644109900389,-0.001947449831714131,0.004231973220770474,0.004232648543612952,-0.0042591095043085295,0.0046154329058280584,153.8984597195091,38.80734227695357,-0.0046154329058280584,0.8265279224090116,0.034714342959804134,0.035329125273432356,-0.034135834753856474,306.3653136052426,2.817133189141714,2.8367866106098067,-2.799386911312212,0.8082928248766184,0.09802695140944417,0.10195381359995548,-0.09462298662608133,241.23236842730088,56.78130439672293,53.605549766947036,-62.966585754641834,0.14926093240384514,0.0011982393938771469,0.001198442002435131,-0.0011983192930914459,2.9048329481940103,0.014159999607544447,0.014161393111127983,-0.014164626271085978,-19.379997616049305,0.00500510387486695,0.0049965278830150185,-0.005072339384249523,0.1002196726459428,0.0019285398110433227,0.0019147473168319492,-0.0019701574212190715,0.08232185371715732,0.0030329676047574808,0.003032910192694663,-0.0030333948073967797
4,7008,14.0,True,True,True,True,True,True,0.7292025168366723,0.06952248120837862,0.07164587876119614,-0.06749447733663776,-0.001978044685975352,0.004273907886924373,0.004274494421625364,-0.00430190357635489,0.002938993182055211,160.59555512723824,39.246987501162145,-0.002938993182055211,0.8465374881803264,0.03613045452896896,0.036780787528445553,-0.03551727730040865,306.6430698629746,2.812444871683539,2.83197080204813,-2.794738486463076,0.814243319630391,0.09923360322748676,0.10327745002263117,-0.09573178888026247,242.51124172206104,56.49760141883499,53.38940213157607,-62.5402334013158,0.14926271999810725,0.001198241019635882,0.0011985102119254384,-0.0011982549344534338,2.9048378501418406,0.014159803714379289,0.014161437928953363,-0.014164199356815326,-19.38002764706823,0.005030517070481099,0.005021475152688231,-0.005099218589003552,0.10021663780513185,0.001929032116922344,0.0019151898652005855,-0.0019707664360608603,0.08232516839185652,0.003032948841529964,0.003032982766190368,-0.003033284118678941
5,7008,15.0,True,True,True,True,True,True,0.7387671164549116,0.07101583510839299,0.07323316525210574,-0.06890052037457323,-0.002010153773545878,0.00431722295995677,0.004317799515720734,-0.004346041356824602,0.0025207996406460026,163.91857934749254,39.680426312808244,-0.0025207996406460026,0.8676890315187885,0.03764904242153794,0.038339376203325844,-0.03699756845091326,306.9044301340632,2.808287533246954,2.8284332917872557,-2.789946441080137,0.8206214908851795,0.1005219248180676,0.1046912410182579,-0.09691520591616719,243.70276267474264,56.23699926218714,53.18588100964482,-62.158032001406205,0.14926464698175443,0.0011982407259420028,0.0011985041417315802,-0.0011982610536991063,2.9048429161327087,0.014159583271473514,0.01416117329539312,-0.01416403313203161,-19.380060393414144,0.005057718681770992,0.00504856004314372,-0.005127610666090456,0.10021383649279446,0.0019294750633705518,0.0019157448021731136,-0.001971166512077391,0.08232873880851893,0.003032921775337805,0.003032953183995608,-0.003033258925583595
6,7008,16.0,True,True,True,True,True,True,0.7486622805913988,0.07256944337970905,0.07488513459691004,-0.07036270447021305,-0.002043694154559875,0.004361787117096898,0.004362360987014485,-0.0043914554149771,0.0021399685429255295,167.14719147329447,40.1017991315636,-0.0021399685429255295,0.8899276526859977,0.03926953689087803,0.04001150325739335,-0.038569518659923197,307.1456029468325,2.80483610209518,2.8251551849526044,-2.786327331720811,0.8274197434526808,0.10189216660115408,0.10619769979799105,-0.09817153546883088,244.79414461781192,56.00151632062534,53.00034258998288,-61.81639051568884,0.14926676910983597,0.0011982388116236066,0.001198348444898459,-0.001198413263297165,2.9048470530162507,0.014159341664817231,0.014161728664340062,-0.014163000343951628,-19.38009521700927,0.00508665734659548,0.005077100854270739,-0.005158129219534084,0.10021148104489717,0.0019298664617913575,0.0019162585161323915,-0.0019715021024610444,0.08233260981962777,0.0030328869752759614,0.0030327404394511277,-0.0030334005860172446
7,7008,17.0,True,True,True,True,True,True,0.7588725206230778,0.07418187106454222,0.07659410446741122,-0.07188488467588303,-0.0020782002562234297,0.004407506500307064,0.004407588358501752,-0.0044384991681552365,0.0023746958926518166,168.3951543287285,40.50472041019779,-0.0023746958926518166,0.9132163729569734,0.040992565142789206,0.04178600856950498,-0.040243749344455175,307.36353704963153,2.802242985677708,2.8219249795409502,-2.7843318558805574,0.8346255719676464,0.10334346317561705,0.10779834449533933,-0.09949857903140272,245.77214658369542,55.79339194823106,52.84296754363389,-61.50432286693011,0.14926901317362568,0.0011982351628836156,0.0011980978657107413,-0.0011986574930506356,2.904854462861397,0.014159074645569786,0.014158951416755921,-0.014165258561386583,-19.380133850652975,0.005117286031051288,0.005108772003121822,-0.005188972140097857,0.10020979698204988,0.001930213348310221,0.0019165443184054188,-0.0019719547137377505,0.08233662606989954,0.0030328436381346956,0.0030324597009154437,-0.003033595167563473
8,7008,18.0,True,True,True,True,True,True,0.7693658305206493,0.07585051721471592,0.0783703397111813,-0.0734537045337852,-0.0021146881819924523,0.004454215307749711,0.0044543558155939866,-0.004486065299867063,0.004519251265923392,163.88174176743564,40.883904234690206,-0.004519251265923392,0.9374980802249789,0.04281722248311787,0.043669473088417954,-0.042012671017750525,307.55475537968687,2.800552370462043,2.8207810480423134,-2.782087382755874,0.8422097413732748,0.1048734385630058,0.10950494916990422,-0.10088191659766052,246.67981617239684,55.603668455509435,52.67153340046579,-61.26103400075595,0.1492709696539209,0.0011982282330842942,0.0011981446934054302,-0.0011986008960798496,2.9048572070842162,0.0141587682341167,0.014160831873155987,-0.014162813002514707,-19.38017347649303,0.00514941583974449,0.0051407031073255035,-0.0052228391209387165,0.10020762773389423,0.00193052551484834,0.0019177754011059634,-0.0019713481407042065,0.08234011898008681,0.003032788922150127,0.003032735098098606,-0.0030332180561104677
9,7008,19.0,True,True,True,True,True,True,0.7800915412659039,0.0775709912301919,0.08024183654525303,-0.07503797036133208,-0.002153816287025942,0.00450165434180538,0.004503165252409111,-0.00453341024498329,0.0020383503421944867,173.1658617493914,41.24455366365831,-0.0020383503421944867,0.9627240260722071,0.04475450126906233,0.0456559742658582,-0.04388036658059507,307.72154033661826,2.8005430479137203,2.8199008472995364,-2.7815046497462808,0.8502253564237534,0.10648806291734525,0.11124062307350538,-0.10239389807457375,247.44915928507942,55.4420672447437,52.55836584607872,-61.009757092131174,0.1492727550966242,0.001198224509006732,0.0011983591482496738,-0.0011983754669385306,2.904862126378163,0.014158493931539338,0.014160590235472592,-0.014162466336615307,-19.380214278454805,0.005183304359997168,0.005173015265690746,-0.005259385998910781,0.100207500355814,0.0019307298926674252,0.0019174206623028692,-0.0019722169449911905,0.08234369941474037,0.003032739064387358,0.003032912379313664,-0.0030329291527482313
10,7008,20.0,True,True,True,True,True,True,0.7910941165773248,0.07934754809518274,0.082138720420559,-0.07670357237582298,-0.002193340242711542,0.00455001318674171,0.004551612008041506,-0.004582689662047705,0.001850379571816074,175.48623826191246,41.57975385392595,-0.001850379571816074,0.9888352050721896,0.046767095140520576,0.047745716937066404,-0.04584397135460019,307.8651461679885,2.8000413271479943,2.8202422377439316,-2.7816368992855995,0.8585593089608801,0.10817371334784776,0.11308906345038942,-0.10394405238208664,248.14033657368955,55.29960110984169,52.45007311819124,-60.79803568051485,0.14927463498629412,0.001198217861857756,0.0011984645036625331,-0.0011982576960685466,2.904867840087774,0.014158177608837341,0.014159644799031685,-0.014162791971214008,-19.38025877707993,0.00521841784871367,0.005208146533655718,-0.0052958855648375415,0.10020731210950497,0.0019309196414436167,0.001917556201600112,-0.001972486857560055,0.08234762285044495,0.003032677699059341,0.00303268892598407,-0.0030330300287037034
11,7008,21.0,True,True,True,True,True,True,0.8023209044925531,0.08113607634991954,0.08408463845488023,-0.07842152841338502,-0.002233270548262973,0.004596962432968391,0.0045995129011613435,-0.004633790539097024,0.012177435837840998,150.30534525675307,41.88817795833168,-0.012177435837840998,1.0157551552960307,0.048888269832764786,0.049954310722263744,-0.04788481673542233,307.99051661757306,2.8011982757616636,2.8204825080274247,-2.783749485792997,0.8672055439638906,0.1099292272038051,0.11502239267981665,-0.1055518088463377,248.75789910350088,55.17322521845517,52.35080402247421,-60.615343022848634,0.14927666863737482,0.0011982110114543562,0.001198394386592636,-0.0011983148355262248,2.904872765160147,0.014157851387066307,0.014159609912218705,-0.014162185302096106,-19.38030444330595,0.005254686689471754,0.005243504528507415,-0.005334631920866292,0.1002074616569945,0.0019310604369006806,0.0019177390722444458,-0.001972607393600948,0.08235122862826029,0.0030326125662270627,0.00303268167221463,-0.0030329068245760213
12,7008,22.0,True,True,True,True,True,True,0.8137321018962286,0.08304906627438285,0.08608651039465443,-0.08017755257315176,-0.002275958171011522,0.004648476855562196,0.004649035150653451,-0.004684244688068892,0.013456360811526557,149.08168354182348,42.18391810964831,-0.013456360811526557,1.0434582024025874,0.051107198150593725,0.052248338966353544,-0.050033960702061765,308.10029538476374,2.8032335917677926,2.8225224561718125,-2.7858321709393556,0.8761446806275768,0.11175065442677035,0.11702307744096681,-0.10722484728169601,249.30917019935382,55.06059453925721,52.262960936769474,-60.45266528002143,0.14927854525338977,0.0011982047268172752,0.0011984562875742553,-0.001198240207667455,2.9048783596669803,0.014157523403961604,0.014159038034018629,-0.014162102592883804,-19.380353350185608,0.005292037551742649,0.005281083233046111,-0.005373294666110126,0.10020805389414478,0.001931147874963346,0.0019178047372340266,-0.001972751416485598,0.0823548061499569,0.003032546062233828,0.003032560515318144,-0.003032892426797043
13,7008,23.0,True,True,True,True,True,True,0.8253142465216239,0.08496678825277698,0.08812221908008741,-0.08198533952169552,-0.002320186828427688,0.0046983031728978445,0.0046987412437810815,-0.004735142679132086,0.018834407115998902,140.91291878631876,42.46222273984289,-0.018834407115998902,1.0718775100115594,0.05342283766478406,0.054641573089777816,-0.05227712660896635,308.20033640466676,2.8060854116326652,2.8254187238496127,-2.788684339007673,0.8853407645984521,0.11363255334351074,0.11908885702595506,-0.10895463801464814,249.80633766401658,54.95937628184576,52.184351358763195,-60.305740485791524,0.1492804592976916,0.0011981987165698646,0.0011984559980908346,-0.0011982286678759954,2.904883790387758,0.01415719026116398,0.014158749467449038,-0.014161730386259421,-19.380403565923626,0.005330261796394551,0.005318889545795259,-0.005413538192330548,0.10020893588872816,0.0019311992100113015,0.0019178350424726455,-0.0019728466257903175,0.08235814929283611,0.003032477640296132,0.0030324955352316364,-0.0030328191628815034
14,7008,24.0,True,True,True,True,True,True,0.8370349736444018,0.08692329942640165,0.09018686278173536,-0.08383954289273736,-0.0023660434983838086,0.004748328296708531,0.0047485213889247825,-0.004786264811323243,0.00426238064113582,173.79607726404763,42.75581688231029,-0.00426238064113582,1.1009815606668878,0.055836598764638645,0.05712181234759364,-0.054628944349828866,308.29465115436113,2.8096356573437617,2.8298876492376923,-2.791434250403006,0.8947573051097305,0.1155686264713835,0.12121841175854314,-0.11073131860544409,250.2630605881895,54.86640334326343,52.11092741032863,-60.17266053504131,0.14928235665083311,0.0011981933125928303,0.0011984511101947011,-0.0011982229975397588,2.9048893424226065,0.014156855901658867,0.014158421137424678,-0.01416139663465535,-19.38045561017555,0.005369183045197824,0.0053573796831146705,-0.0054545755640672605,0.10020998610090259,0.0019312160978182044,0.0019178734439414444,-0.00197286002326182,0.08236128934175244,0.0030324086485400362,0.0030324254750577957,-0.0030327501853603623
15,7008,25.0,True,True,True,True,True,True,0.8487963003575547,0.08890614487200715,0.09234163805986578,-0.08566785923185542,-0.0024134520613357225,0.004798067043315097,0.004798103449829105,-0.004837558649594926,0.01998173048107832,141.40355776139415,43.02063781395883,-0.01998173048107832,1.130707770704605,0.05836964097514186,0.05971851219059726,-0.05706577739430638,308.39036854602733,2.814773169128813,2.832867262151449,-2.796998024786967,0.9043469267119676,0.11755102304065945,0.12342334059156981,-0.11253226302800452,250.69426689739015,54.77828331349316,52.03645585013536,-60.05445799975923,0.14928384992212068,0.001198188682833799,0.0011988354099152939,-0.0011978299336810531,2.9048968542505786,0.014156522847441313,0.01415615295260025,-0.014163005673400004,-19.380509656474416,0.005408572225565635,0.005396674896488501,-0.005495976634254904,0.10021102388748118,0.0019311980464022868,0.0019180200783430103,-0.001972702536938413,0.08236390841468103,0.003032340274811185,0.003032645549987318,-0.003032391873057222
