,NSN,model,valid_TRUE,accurate_TRUE,valid_STDFIT,accurate_STDFIT,fs8_TRUE,fs8_ERR_TRUE,sigv_TRUE,sigv_ERR_TRUE,fs8_STDFIT,fs8_ERR_STDFIT,sigv_STDFIT,sigv_ERR_STDFIT,alpha_STDFIT,alpha_ERR_STDFIT,beta_STDFIT,beta_ERR_STDFIT,M_0_STDFIT,M_0_ERR_STDFIT,sigma_M_STDFIT,sigma_M_ERR_STDFIT,gamma_STDFIT,gamma_ERR_STDFIT
0,6745,P21,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.8864400685301257,0.10872696339005244,253.00849795713097,54.39897679752623,0.14873698226492393,0.0012133905702928036,2.897248605641715,0.014391616459321657,-19.38079415164557,0.005353037655630095,0.09918667933967966,0.0019473982351537883,0.0810191757578553,0.003063525051757223
1,6745,P21_NO_DUST,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9127043826797439,0.058344518450578475,193.29082190556247,6.807213098551671,0.14737606447888646,0.0005171456903809734,2.1250040571434505,0.010440387137480325,-19.464249416089828,0.004875990934313892,3.769303503489414e-06,0.010520754370695532,0.00596982717900638,0.0012523709881897772
2,6745,P21_FIXED_BETA,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9477228982991832,0.1202998122986153,121.70130196867203,122.60812398309983,0.1485639632851315,0.0013781749970297667,2.9222956634915995,0.015360366563314307,-19.37817770115747,0.005824071811017819,0.12050000681618436,0.001983081287221772,0.08730872741030996,0.003497571867552954
3,6745,P21_FIXED_BETA_NO_DUST,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9048899741863203,0.05456356434781001,157.23102029464224,6.764296622735046,0.1472239075770383,0.0005000658581659165,2.114431008813582,0.00997242654462499,-19.46502790955978,0.004822576925610295,8.554508292262907e-08,0.006640326754335455,0.005350909908045913,0.0012065271115644029
4,6745,P21_REDUCED_TAU1,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9171077392195708,0.059180980681643625,197.17312080115602,6.866988321429517,0.14742201687223785,0.0005196056365111135,2.133642087979491,0.010477456633598937,-19.461796881587514,0.0048963900464756875,4.505203002528333e-06,0.01279331815032058,0.006437431726721566,0.0012585047104834658
5,6745,P21_REDUCED_TAU2,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9203067311046393,0.06892511782699029,302.7855820160529,14.81947411547165,0.1476526181309827,0.0006101423134804477,2.3039234133803386,0.011867552221544073,-19.433149621488322,0.004961689628973787,0.014417475104919272,0.0031397492501149833,0.022671628898698,0.0014908117477625956
6,6745,P21_REDUCED_TAU3,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9407611106092123,0.10128578422500312,269.15897021134066,45.09708589450429,0.14835027579381435,0.0010595785477402915,2.782384197063307,0.014371468793237209,-19.38852681627062,0.005461108781543353,0.08138686244669542,0.0019370461416616316,0.06270641394170044,0.002668995065513515
7,6745,P21_REDUCED_TAU4,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.8768405833676544,0.08299805934340515,242.20733713162772,27.89273657847197,0.14771982322622873,0.0008322873570219255,2.581778187844519,0.013682496458539256,-19.403276742937912,0.004951632534090459,0.05538377917216989,0.0015605761755171817,0.041340710865359176,0.002077347787394544
8,6745,P21_REDUCED_BETA1,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9703684648831623,0.11920932031750497,352.3018007910215,49.69986971480773,0.14869217704778478,0.0012524878670736042,2.905539972725833,0.01461497404400993,-19.379456316271252,0.005797075074970578,0.10072793166406924,0.0022269810523356526,0.08434726376830251,0.0031723668313236733
9,6745,P21_REDUCED_BETA2,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9570135276057697,0.1189206444663104,357.36597103865586,49.680393682906924,0.14870499064517267,0.0012538293958971826,2.905265871385583,0.014633857321335549,-19.379346990390204,0.005732516590971748,0.10063965806812593,0.0022482173583282528,0.0845855391513346,0.0031755379902674453
10,6745,P21_REDUCED_BETA3,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9080366140192379,0.11407759523950561,309.1568289414372,47.96636329153159,0.1496860416213849,0.0012394317241209139,2.889003807287399,0.014489152230936945,-19.38153440076275,0.005487294563994095,0.10061952586942384,0.002005962271917343,0.08275682960308471,0.003132206526269892
11,6745,P21_REDUCED_TAU_BETA1,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9137853198739307,0.055531248100143094,160.10906983663324,6.835073422424429,0.14730960564865905,0.0005015044603745524,2.1236960676816605,0.010020222226852556,-19.46268439388473,0.00486423484845364,4.839744482855327e-07,0.00906363947957042,0.005980100931096144,0.001211274969042349
12,6745,P21_REDUCED_TAU_BETA2,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9594448233606193,0.07175497051932811,319.2955718663101,14.783506286088311,0.14769000779180577,0.0006019721878459472,2.3088397974136976,0.0116317142880791,-19.432491429421887,0.005138138537136824,0.006160082073895254,0.007387631105072245,0.023611326538862158,0.0014698045766166844
13,6745,P21_REDUCED_TAU_BETA3,True,True,True,True,1.0033227426977305,0.049117492203681445,308.77785446142826,2.862839282531894,0.9671253411274421,0.10407426325124597,325.7568159700265,39.66223330525719,0.14917833409827835,0.001072407904477331,2.7837792234027057,0.014342038716549111,-19.389330026017756,0.005599971789446362,0.08070368038674279,0.002003439423041764,0.06381960478029755,0.0027021980523857583
