,NSN,model,valid_TRUE,accurate_TRUE,valid_STDFIT,accurate_STDFIT,fs8_TRUE,fs8_ERR_TRUE,fs8_MERR_UP_TRUE,fs8_MERR_LOW_TRUE,sigv_TRUE,sigv_ERR_TRUE,sigv_MERR_UP_TRUE,sigv_MERR_LOW_TRUE,fs8_STDFIT,fs8_ERR_STDFIT,fs8_MERR_UP_STDFIT,fs8_MERR_LOW_STDFIT,sigv_STDFIT,sigv_ERR_STDFIT,sigv_MERR_UP_STDFIT,sigv_MERR_LOW_STDFIT,alpha_STDFIT,alpha_ERR_STDFIT,alpha_MERR_UP_STDFIT,alpha_MERR_LOW_STDFIT,beta_STDFIT,beta_ERR_STDFIT,beta_MERR_UP_STDFIT,beta_MERR_LOW_STDFIT,M_0_STDFIT,M_0_ERR_STDFIT,M_0_MERR_UP_STDFIT,M_0_MERR_LOW_STDFIT,sigma_M_STDFIT,sigma_M_ERR_STDFIT,sigma_M_MERR_UP_STDFIT,sigma_M_MERR_LOW_STDFIT,gamma_STDFIT,gamma_ERR_STDFIT,gamma_MERR_UP_STDFIT,gamma_MERR_LOW_STDFIT
0,6739,P21,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.8325522941869953,0.11840204431640833,0.12144035946170849,-0.11606162719526601,264.52094339026775,52.16734948898774,50.00171827393259,-56.35238910168136,0.15023869922574604,0.001187160886226259,0.00118748948866255,-0.0011870611224399825,2.8676329726089556,0.014094190224792351,0.014096608945415706,-0.01409900075112527,-19.396613024657544,0.005087883334414853,0.005100938864969482,-0.005144596719847595,0.09680620358893267,0.0019497120051921515,0.001935653053051121,-0.001993902672266481,0.08318335606141948,0.0030296433870422037,0.003029599070523638,-0.0030299450991296134
1,6739,P21_NODUST,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.9365399263762043,0.05877427181199285,0.06023172374861405,-0.05736802725002163,164.12446803616007,6.902036021768382,6.87322721452085,-6.885121645748394,0.14800697011453573,0.0005047979684125192,0.0005051623963236613,-0.0005044066144129385,2.104616782619739,0.010277237624281302,0.010284662669215763,-0.010269719626260436,-19.479368040769916,0.0049749641976217255,0.004989127468334873,-0.004976059718196956,4.306629364106765e-10,0.0005060517862194875,0.0013509276960851353,-4.306629364106765e-10,0.0038427189729295774,0.0012140744755629867,0.0012142462726428055,-0.0012139393108084367
2,6739,P21_FIXEDBETA,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.962041427221124,0.14256216828797447,0.14676570152949792,-0.13905579736071022,335.77220228990643,56.55782026963519,54.93825600293273,-59.99709135546734,0.14928042525923796,0.0013240548040342106,0.0013245254004938963,-0.0013238255977508176,2.8892109854056702,0.015092211806842037,0.015094897144559395,-0.015097664155394062,-19.39140411502733,0.005840575012340851,0.005864858136681959,-0.005900805012235409,0.1103909851977142,0.0022578822463845197,0.0022387800013374533,-0.002318602910754337,0.08837234555138229,0.003391150218857334,0.0033914702641560123,-0.003391202094406634
3,6739,P21_REDUCEDTAU1,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.9435394946492988,0.05941104490350163,0.06086758248763585,-0.058011982907930575,166.60199165692586,6.9461393086125724,6.945694095142994,-6.956101320800569,0.14806219617988,0.0005066940161886327,0.0005071375087799761,-0.0005063466027369508,2.11579270696105,0.010261337597269634,0.010261337597269634,-0.010256168881548731,-19.476885457757792,0.005009952135193758,0.0050249880449030155,-0.005007904624911346,6.940441740863491e-08,0.15787639670201864,0.001413278180799038,-6.940441740863491e-08,0.004500366456145436,0.0012189186603888873,0.0012191650987209404,-0.0012186971606267679
4,6739,P21_REDUCEDTAU2,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.9124489105656662,0.07104014484620663,0.07303567552462209,-0.06911183832273217,275.7845867326528,14.546438694220825,14.34006081006936,-14.432949594153948,0.1488450359786688,0.0005962717774617082,0.0005964720820788858,-0.0005961486929578244,2.2971156981306664,0.01154791355461666,0.01155274358257336,-0.01154554313984451,-19.448640676566555,0.004916542356351846,0.0049320553997211775,-0.004921355031051754,0.014332927044090634,0.002893594794036753,0.0026260116265615727,-0.0032147398905845305,0.022047566815705983,0.0014546195872417675,0.0014545336751099957,-0.0014548810004128242
5,6739,P21_REDUCEDTAU3,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.8469373882322679,0.10449123982701602,0.10753708079323554,-0.10182414810619317,217.022668230714,42.23458172977364,40.52562008887628,-45.40819801172132,0.14987763713814428,0.0010291403006357268,0.0010294376105627063,-0.0010290658360503954,2.7754915404377,0.013960080277663432,0.013963380409631665,-0.013965342091862246,-19.403724538322834,0.004998014862368999,0.005017249165917185,-0.005030632337318802,0.07968509372585751,0.0016377521599901454,0.001625923936016148,-0.0016706997935961594,0.06293869773639972,0.002609839337730558,0.0026098381933543804,-0.00261009818002406
6,6739,P21_REDUCEDBETA1,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.8366418597340131,0.1265104106589221,0.12992890333882112,-0.12403275390117746,248.61301652277731,58.836053047836984,55.50972508261272,-65.30355100779377,0.14973052019346733,0.0012525635939185334,0.0012528179949027707,-0.0012525159120917746,2.8642347015630683,0.01462815245241122,0.01463131975530596,-0.014632503461091649,-19.39675635404521,0.005180817937132127,0.005178974397242453,-0.0052682337300134505,0.10505234024802604,0.001958003788193406,0.0019457885355049166,-0.0019977325351457982,0.08358492606190843,0.0032052614302114893,0.0032050883638549874,-0.0032057107240403932
7,6739,P21_REDUCEDBETA2,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.83593652747922,0.12660945230693105,0.1300120370696497,-0.12415420528388715,250.9011991053747,58.36319917008974,55.12806757846322,-64.618405335866,0.14972722108506595,0.0012525311752037817,0.0012528316213369674,-0.001252441360462705,2.8634265967961205,0.014620771219829914,0.014624128411611701,-0.01462492234925738,-19.39679116859021,0.005177086437439911,0.005175357727607668,-0.005264454969341707,0.10502979372439615,0.001958236339297856,0.0019467545481039392,-0.0019972254003822105,0.08353621266998437,0.0032048378305009726,0.0032047322136856773,-0.0032052257386589126
8,6739,P21_REDUCEDBETA3,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.7712059589885991,0.11965492727559907,0.12327609680086908,-0.11665941290269591,320.35874758030366,48.93874571083913,47.608817024464784,-51.69899732125076,0.15056984889477792,0.0012225941833115754,0.0012228934722990142,-0.0012225368104723559,2.8601579681255105,0.014345769126767086,0.014349895974292344,-0.01434793310669762,-19.39574231025413,0.0048187401688317135,0.004840698735815875,-0.004867940548341339,0.09934922367630988,0.0020702402286283048,0.002058929999419593,-0.002117215774916261,0.08092530177800211,0.003122935619465905,0.00312295498894742,-0.0031232013218505496
9,6739,P21_REDUCEDTAUBETA,True,True,True,True,0.9792546655330883,0.04651815779009855,0.04748983078549675,-0.04558020167168243,298.61785285706065,2.7617353611040016,2.781318841902092,-2.7424742744272885,0.8914292138923093,0.06838610692379826,0.07026902929793032,-0.06658538233417778,271.80742709655345,14.296556060076313,14.040770866313519,-14.088830637305099,0.14860784343513736,0.0005897945165534072,0.0005892917221394724,-0.0005902911530585474,2.2983412530018152,0.011379179314933147,0.01137431665405928,-0.011383680356395035,-19.44850774116923,0.004806285514935077,0.004818714765402799,-0.004814299748267543,0.012869204757476644,0.0031236444414468618,0.002773819932457944,-0.0035642883530065507,0.02197339497484181,0.0014357847576914175,0.0014357332980993824,-0.0014359673269459879
